,topic,tweet_volume
0,#ENHYPEN,1516862
1,Oscar,1078483
2,Butter,815839
3,Spotify,757300
4,bighit,213506
5,The EU,129197
6,Boris Johnson,118913
7,Apple Music,116889
8,BANGTAN,116885
9,Henry,114794
10,Iran,93412
11,Prime Minister,87386
12,Hunt,32543
13,Daily Mail,31424
14,Shearer,30374
15,Vieira,28250
16,noelle,27247
17,West Side Story,26273
18,Terry,25109
19,Daniel Ek,20429
20,Gove,20124
21,Murdoch,13183
22,Tariq,12511
23,Rooney,11219
24,Peston,10609
25,Bailly,10398
26,Ratchet & Clank,10068
27,Downing St,
28,RAWE CEEK,
29,GCSE,
30,#ToryLies,
31,#ASongOrMovieForAustralians,
32,#MondayVibes,
33,sunak,
34,Global Britain,
35,Raab,
36,sarah vine,
37,Simon Case,
38,Foreign Secretary,
39,Magna Carta,
40,Cabinet Secretary,
41,Balogun,
42,Yes Minister,
43,Scholes,
44,Lampard,
45,Giggs,
46,Gerrard,
47,Drowning Pool,
48,Abrdn,
49,,
